Date, Close/Last, Volume, Open, High, Low
2019-04-26,52.98,3937771,53.25,53.55,52.94
2019-04-25,53.35,7114908,53.12,54.855,52.6368
2019-04-24,52.93,4062379,52.91,53.04,52.39
2019-04-23,52.79,3600037,51.78,52.92,51.56
2019-04-22,51.71,2971448,51.86,52.065,51.46
2019-04-18,52.18,3342142,52.66,52.77,51.895
2019-04-17,52.76,2569913,53.39,53.63,52.47
2019-04-16,52.78,2939259,52.26,52.965,51.98
2019-04-15,52.29,2524620,53.06,53.06,52.28
2019-04-12,53.13,2738365,53.27,53.64,52.71
2019-04-11,53.0,3283060,52.75,53.51,52.69
2019-04-10,52.62,3857958,52.57,52.76,51.72
2019-04-09,51.89,3380582,51.63,52.075,51.38
2019-04-08,51.94,6999014,52.26,52.5,51.67
2019-04-05,53.25,2529945,53.25,53.73,53.055
2019-04-04,53.18,2799401,53.25,53.3,52.21
2019-04-03,52.89,3080118,52.95,53.52,52.82
2019-04-02,52.71,4410689,53.17,53.43,52.1529
2019-04-01,52.41,6261258,52.27,53.05,52.02
2019-03-29,51.91,6669582,50.58,52.1,50.45
2019-03-28,50.45,7368308,49.8,50.72,49.72
2019-03-27,49.83,8066736,48.5,50.25,48.5
2019-03-26,48.75,3819246,48.85,49.48,48.58
2019-03-25,48.69,4501754,49.26,49.54,48.53
2019-03-22,49.32,4804267,50.42,50.515,49.3
2019-03-21,50.74,5574106,49.7,51.025,49.7
2019-03-20,49.7,5778521,50.5,50.7,49.405
2019-03-19,50.74,4295280,51.17,51.72,50.475
2019-03-18,51.08,4216673,51.34,51.5323,51.0
2019-03-15,51.37,7146452,51.16,51.72,50.95
2019-03-14,51.16,7698697,50.78,51.59,50.61
2019-03-13,50.61,12536900,50.89,51.78,48.58
2019-03-12,50.4,8759194,51.38,51.43,49.91
2019-03-11,51.61,6121763,49.9,51.64,49.82
2019-03-08,51.77,4647565,52.01,52.01,51.32
2019-03-07,52.43,5552171,52.83,53.18,51.9597
2019-03-06,53.06,5114716,53.5,53.78,52.76
2019-03-05,53.39,5155207,54.0,54.395,53.32
2019-03-04,53.83,4522042,54.22,54.56,53.26
2019-03-01,54.34,9031733,56.28,56.58,54.05
